mixed,cat,date,num
,5S31,2013-01-14,
,5S31,2013-01-03,
,5S31,2013-01-13,
,5S31,2013-01-23,
,5S31,2013-02-22,
,5S31,2013-01-01,
,5S31,2013-01-03,
,5S31,2013-02-04,
,5S31,2013-02-08,
,8C56,2013-02-26,99.98779
,SZ61,2013-01-16,
,SZ61,2013-02-04,
,SZ61,2013-01-28,
,4J71,2013-02-20,100.00008
,HT33,2013-01-19,0
,HT33,2013-02-07,0
,5S31,2013-01-26,
,KY51,2013-02-26,NaN
,1T12,2013-01-17,0
,1T12,2013-02-22,0
,LS21,2013-01-17,
,8A94,2013-02-01,
,8A94,2013-01-06,
,8A94,2013-01-05,
,8A94,2013-02-28,
,8A94,2013-02-02,
,5S31,2013-01-18,
,XM93,2013-02-22,78.4989
,5S31,2013-02-23,
,5S31,2013-01-29,
,5S31,2013-02-28,
,5S31,2013-01-07,
,5S31,2013-01-01,
,CU31,2013-02-26,
,CU31,2013-02-21,
,CU31,2013-02-14,
,CU31,2013-01-25,
,5S11,2013-01-21,
,5S11,2013-02-28,
,5S11,2013-01-27,
,5T31,2013-02-14,
,5T31,2013-02-14,
,5T31,2013-02-16,
,5T31,2013-02-11,
,5T31,2013-02-24,
,5T31,2013-02-01,
,5T31,2013-01-13,
,1M31,2013-02-02,16.43956697
,5S31,2013-01-17,
,5S31,2013-01-19,
,5S31,2013-01-03,
,5S31,2013-02-15,
,5S31,2013-01-27,
,5S31,2013-02-14,
,3B15,2013-01-02,92.98786177
,3B15,2013-02-19,91.38807176
,3X53,2013-02-07,
,3X53,2013-02-15,
,3X53,2013-01-20,
,3X53,2013-02-02,
,3B17,2013-02-02,
,3B17,2013-02-22,33.44269
,5S31,2013-01-06,
,5S31,2013-02-11,
,5S31,2013-01-18,
,5S31,2013-02-07,
,5S31,2013-01-17,
,5S31,2013-01-14,
,5S31,2013-02-26,
,5S31,2013-02-04,
,2C11,2013-02-07,61.03516
,2C11,2013-02-04,63.13477
,2C11,2013-02-24,60.52246
,XG11,2013-02-06,
,XG11,2013-01-10,
,CU31,2013-01-12,
,CU31,2013-01-29,
,CU31,2013-01-08,
,2A32,2013-01-18,0
,2A32,2013-01-08,0
,2A32,2013-01-31,0
,3X12,2013-01-19,
,3X12,2013-02-07,
,3X12,2013-02-24,
,3X12,2013-02-10,
,3X12,2013-01-08,
,3X12,2013-02-22,
,3X12,2013-03-01,
,3X12,2013-01-20,
99.99823265,KY51,2013-01-28,100
99.998235,KY51,2013-02-24,100
,XS52,2013-01-19,86.89728
,XS52,2013-01-23,86.92322
,3N32,2013-02-10,
,HT33,2013-02-19,17.93490484
,3B11,2013-01-04,86.78609085
,3B11,2013-01-30,93.2419834
,3A54,2013-01-04,
,3A54,2013-01-25,
,3A54,2013-01-19,
1218430,7.00E+01,2013-01-23,100.00007
,3B37,2013-01-08,
,3B37,2013-02-17,
,3B37,2013-01-10,
,3B37,2013-01-14,
,3B37,2013-01-10,
,3B37,2013-01-15,
,1S52,2013-02-22,72.58851886
,1S52,2013-02-23,72.63736078
,HT71,2013-01-07,99.31641
,HT71,2013-02-09,99.3164
,YG41,2013-01-21,
,YG41,2013-02-24,
,YG41,2013-02-08,
,5T31,2013-02-03,
,5T31,2013-01-08,
